#0303#
150 4
class	Sepal_Length	Sepal_Width	Petal_Length	Petal_Width
setosa	0.556	-0.250	0.864	0.917
setosa	0.667	0.167	0.864	0.917
setosa	0.778	0.000	0.898	0.917
setosa	0.833	0.083	0.831	0.917
setosa	0.611	-0.333	0.864	0.917
setosa	0.389	-0.583	0.763	0.750
setosa	0.833	-0.167	0.864	0.833
setosa	0.611	-0.167	0.831	0.917
setosa	0.944	0.250	0.864	0.917
setosa	0.667	0.083	0.831	1.000
setosa	0.389	-0.417	0.831	0.917
setosa	0.722	-0.167	0.797	0.917
setosa	0.722	0.167	0.864	1.000
setosa	1.000	0.167	0.966	1.000
setosa	0.167	-0.667	0.932	0.917
setosa	0.222	-1.000	0.831	0.750
setosa	0.389	-0.583	0.898	0.750
setosa	0.556	-0.250	0.864	0.833
setosa	0.222	-0.500	0.763	0.833
setosa	0.556	-0.500	0.831	0.833
setosa	0.389	-0.167	0.763	0.917
setosa	0.556	-0.417	0.831	0.750
setosa	0.833	-0.333	1.000	0.917
setosa	0.556	-0.083	0.763	0.667
setosa	0.722	-0.167	0.695	0.917
setosa	0.611	0.167	0.797	0.917
setosa	0.611	-0.167	0.797	0.750
setosa	0.500	-0.250	0.831	0.917
setosa	0.500	-0.167	0.864	0.917
setosa	0.778	0.000	0.797	0.917
setosa	0.722	0.083	0.797	0.917
setosa	0.389	-0.167	0.831	0.750
setosa	0.500	-0.750	0.831	1.000
setosa	0.333	-0.833	0.864	0.917
setosa	0.667	0.083	0.831	1.000
setosa	0.611	0.000	0.932	0.917
setosa	0.333	-0.250	0.898	0.917
setosa	0.667	0.083	0.831	1.000
setosa	0.944	0.167	0.898	0.917
setosa	0.556	-0.167	0.831	0.917
setosa	0.611	-0.250	0.898	0.833
setosa	0.889	0.750	0.898	0.833
setosa	0.944	0.000	0.898	0.917
setosa	0.611	-0.250	0.797	0.583
setosa	0.556	-0.500	0.695	0.750
setosa	0.722	0.167	0.864	0.833
setosa	0.556	-0.500	0.797	0.917
setosa	0.833	0.000	0.864	0.917
setosa	0.444	-0.417	0.831	0.917
setosa	0.611	-0.083	0.864	0.917
versicolor	-0.500	0.000	-0.254	-0.083
versicolor	-0.167	0.000	-0.186	-0.167
versicolor	-0.444	0.083	-0.322	-0.167
versicolor	0.333	0.750	-0.017	0.000
versicolor	-0.222	0.333	-0.220	-0.167
versicolor	0.222	0.333	-0.186	0.000
versicolor	-0.111	-0.083	-0.254	-0.250
versicolor	0.667	0.667	0.220	0.250
versicolor	-0.278	0.250	-0.220	0.000
versicolor	0.500	0.417	0.017	-0.083
versicolor	0.611	1.000	0.153	0.250
versicolor	0.111	0.167	-0.085	-0.167
versicolor	0.056	0.833	-0.017	0.250
versicolor	0.000	0.250	-0.254	-0.083
versicolor	0.278	0.250	0.119	0.000
versicolor	-0.333	0.083	-0.153	-0.083
versicolor	0.278	0.167	-0.186	-0.167
versicolor	0.167	0.417	-0.051	0.250
versicolor	-0.056	0.833	-0.186	-0.167
versicolor	0.278	0.583	0.017	0.167
versicolor	0.111	0.000	-0.288	-0.417
versicolor	0.000	0.333	-0.017	0.000
versicolor	-0.111	0.583	-0.322	-0.167
versicolor	0.000	0.333	-0.254	0.083
versicolor	-0.167	0.250	-0.119	0.000
versicolor	-0.278	0.167	-0.153	-0.083
versicolor	-0.389	0.333	-0.288	-0.083
versicolor	-0.333	0.167	-0.356	-0.333
versicolor	0.056	0.250	-0.186	-0.167
versicolor	0.222	0.500	0.153	0.250
versicolor	0.333	0.667	0.051	0.167
versicolor	0.333	0.667	0.085	0.250
versicolor	0.167	0.417	0.017	0.083
versicolor	0.056	0.417	-0.390	-0.250
versicolor	0.389	0.167	-0.186	-0.167
versicolor	0.056	-0.167	-0.186	-0.250
versicolor	-0.333	0.083	-0.254	-0.167
