label,mcg,gvh,lip,chg,aac,alm1,alm2
AAT_ECOLI,0.4495,0.845,1.0,1.0,0.3635,0.7835,0.6465
ACEA_ECOLI,0.9215,0.7145,1.0,1.0,0.3865,0.67,0.5555
ACEK_ECOLI,0.371,0.7145,1.0,1.0,0.443,0.6495,0.5355
ACKA_ECOLI,0.337,0.607,1.0,1.0,0.409,0.567,0.6365
ADI_ECOLI,0.7415,0.8095,1.0,1.0,0.375,0.773,0.6465
ALKH_ECOLI,0.247,0.726,1.0,1.0,0.591,0.639,0.5355
AMPD_ECOLI,0.674,0.857,1.0,1.0,0.5,0.794,0.6565
AMY2_ECOLI,0.764,0.7855,1.0,1.0,0.4205,0.7425,0.606
APT_ECOLI,0.7755,0.6665,1.0,1.0,0.4775,0.505,0.424
ARAC_ECOLI,0.528,0.7145,1.0,1.0,0.3635,0.8455,0.697
ASG1_ECOLI,0.528,0.905,1.0,1.0,0.3525,0.7525,0.6265
BTUR_ECOLI,0.719,0.619,1.0,1.0,0.5,0.8555,0.707
CAFA_ECOLI,0.562,0.8095,1.0,1.0,0.4775,0.7835,0.6465
CAIB_ECOLI,0.427,0.595,1.0,1.0,0.4775,0.701,0.6465
CFA_ECOLI,0.753,0.6785,1.0,1.0,0.4545,0.866,0.717
CHEA_ECOLI,0.719,0.7145,1.0,1.0,0.4775,0.5775,0.4745
CHEB_ECOLI,0.618,0.655,1.0,1.0,0.568,0.7835,0.6465
CHEW_ECOLI,0.5055,0.869,1.0,1.0,0.375,0.495,0.414
CHEY_ECOLI,0.7415,0.7145,1.0,1.0,0.557,0.7425,0.616
CHEZ_ECOLI,0.5395,0.512,1.0,1.0,0.557,0.8145,0.677
CRL_ECOLI,0.5505,0.655,1.0,1.0,0.568,0.804,1.0
CSPA_ECOLI,0.6515,0.9165,1.0,1.0,0.1705,0.9795,0.8585
CYNR_ECOLI,0.427,0.5475,1.0,1.0,0.534,0.6805,0.5655
CYPB_ECOLI,0.663,1.0,1.0,1.0,0.3635,0.9175,0.7675
CYPC_ECOLI,0.5955,0.726,1.0,1.0,0.4545,0.804,0.7675
CYSB_ECOLI,0.674,0.75,1.0,1.0,0.4545,0.5775,0.4745
CYSE_ECOLI,0.719,0.7145,1.0,1.0,0.466,0.6905,0.576
DAPD_ECOLI,0.764,0.5835,1.0,1.0,0.432,0.701,0.586
DCP_ECOLI,0.517,0.75,1.0,1.0,0.3975,0.67,0.5555
DDLA_ECOLI,0.517,0.726,1.0,1.0,0.466,0.7115,0.586
DDLB_ECOLI,0.4045,0.738,1.0,1.0,0.5,0.763,0.6365
DEOC_ECOLI,0.618,0.7975,1.0,1.0,0.568,0.67,0.5555
DLDH_ECOLI,0.371,0.5835,1.0,1.0,0.6135,0.6495,0.5355
EFG_ECOLI,0.5505,0.845,1.0,1.0,0.5225,0.67,0.5555
EFTS_ECOLI,0.7305,0.774,1.0,1.0,0.6475,0.835,0.687
EFTU_ECOLI,0.5955,0.5475,1.0,1.0,0.534,0.639,0.5355
ENO_ECOLI,0.674,0.5715,1.0,1.0,0.5225,0.732,0.606
FABB_ECOLI,0.2695,0.631,1.0,1.0,0.3295,0.7215,0.596
FES_ECOLI,0.6405,0.6905,1.0,1.0,0.6025,0.7425,0.616
G3P1_ECOLI,0.573,0.643,1.0,1.0,0.4545,0.804,0.707
G3P2_ECOLI,0.629,0.655,1.0,1.0,0.409,0.701,0.586
G6PI_ECOLI,0.663,0.75,1.0,1.0,0.3295,0.608,0.505
GCVA_ECOLI,0.5505,0.595,1.0,1.0,0.4885,0.629,0.5255
GLNA_ECOLI,0.6855,0.738,1.0,1.0,0.432,0.6905,0.576
GLPD_ECOLI,0.3145,0.655,1.0,1.0,0.4545,0.67,0.586
GLYA_ECOLI,0.809,0.738,1.0,1.0,0.4885,0.598,0.495
GSHR_ECOLI,0.5055,0.774,1.0,1.0,0.375,0.464,0.384
GT_ECOLI,0.517,0.7145,1.0,1.0,0.557,0.7425,0.606
HEM6_ECOLI,0.528,0.774,1.0,1.0,0.341,0.8765,0.7275
HEMN_ECOLI,0.7415,0.7975,1.0,1.0,0.5115,0.6905,0.5655
HPRT_ECOLI,0.5845,0.5715,1.0,1.0,0.5225,0.598,0.6365
IF1_ECOLI,0.674,0.8335,1.0,1.0,0.4885,1.0,0.8285
IF2_ECOLI,0.753,0.762,1.0,1.0,0.6025,0.629,0.5255
ILVY_ECOLI,0.7415,0.5,1.0,1.0,0.5795,0.4845,0.404
IPYR_ECOLI,0.472,0.631,1.0,1.0,0.75,0.866,0.7375
KAD_ECOLI,0.3935,0.631,1.0,1.0,0.682,0.6905,0.576
KDSA_ECOLI,0.427,0.75,1.0,1.0,0.6025,0.66,0.5455
LEU3_ECOLI,0.5505,0.774,1.0,1.0,0.4885,0.6905,0.576
LON_ECOLI,0.5055,0.7855,1.0,1.0,0.659,0.6905,0.5655
LPLA_ECOLI,0.528,0.738,1.0,1.0,0.3865,0.6805,0.5655
LYSR_ECOLI,0.5055,0.524,1.0,1.0,0.432,0.5565,0.4545
MALQ_ECOLI,0.4155,0.762,1.0,1.0,0.534,0.7425,0.616
MALZ_ECOLI,0.5955,0.7025,1.0,1.0,0.4545,0.5465,0.4545
MASY_ECOLI,0.798,0.8335,1.0,1.0,0.4775,0.7835,0.6465
METB_ECOLI,0.472,0.845,1.0,1.0,0.4205,0.6905,0.5655
METC_ECOLI,0.7305,0.6785,1.0,1.0,0.3865,0.495,0.404
METK_ECOLI,0.719,0.75,1.0,1.0,0.534,0.6905,0.576
METR_ECOLI,0.4155,0.512,1.0,1.0,0.5225,0.5465,0.4545
METX_ECOLI,0.719,0.75,1.0,1.0,0.5115,0.763,0.6365
MURF_ECOLI,0.6065,0.619,1.0,1.0,0.3635,0.6185,0.515
NADA_ECOLI,0.708,0.881,1.0,1.0,0.6135,0.773,0.6465
NFRC_ECOLI,0.5055,0.5835,1.0,1.0,0.466,0.763,0.6365
NHAR_ECOLI,0.5845,0.595,1.0,1.0,0.5225,0.66,0.5455
NIRD_ECOLI,0.5055,0.6905,1.0,1.0,0.5225,0.773,0.798
OMPR_ECOLI,0.7305,0.6785,1.0,1.0,0.5795,0.7425,0.616
OTC1_ECOLI,0.528,0.8335,1.0,1.0,0.4545,0.763,0.6365
OTC2_ECOLI,0.4605,0.6905,1.0,1.0,0.4885,0.773,0.6465
PEPE_ECOLI,0.5395,0.619,1.0,1.0,0.4205,0.5775,0.485
PFLA_ECOLI,0.5055,0.857,1.0,1.0,0.5115,0.7525,0.6265
PFLB_ECOLI,0.674,0.7025,1.0,1.0,0.4545,0.639,0.5355
PGK_ECOLI,0.618,0.857,1.0,1.0,0.534,0.67,0.5555
PHOB_ECOLI,0.5395,0.6785,1.0,1.0,0.4885,0.7115,0.586
PHOH_ECOLI,0.674,0.631,1.0,1.0,0.534,0.794,0.6565
PMBA_ECOLI,0.618,0.5355,1.0,1.0,0.341,0.7115,0.586
PNP_ECOLI,0.5955,0.524,1.0,1.0,0.5115,0.567,0.4645
PROB_ECOLI,0.5505,0.643,1.0,1.0,0.409,0.526,0.4345
PT1A_ECOLI,0.438,0.607,1.0,1.0,0.443,0.5565,0.4645
PT1_ECOLI,0.4155,0.6665,1.0,1.0,0.5795,0.66,0.576
PTCA_ECOLI,0.438,0.5835,1.0,1.0,0.693,0.794,0.6565
PTCB_ECOLI,0.4045,0.6905,1.0,1.0,0.818,0.732,0.606
