class,mcg,gvh,lip,chg,aac,alm1,alm2
cp,0.4495,0.845,1,1,0.3635,0.7835,0.6465
cp,0.9215,0.7145,1,1,0.3865,0.67,0.5555
cp,0.371,0.7145,1,1,0.443,0.6495,0.5355
cp,0.337,0.607,1,1,0.409,0.567,0.6365
cp,0.7415,0.8095,1,1,0.375,0.773,0.6465
cp,0.247,0.726,1,1,0.591,0.639,0.5355
cp,0.674,0.857,1,1,0.5,0.794,0.6565
cp,0.764,0.7855,1,1,0.4205,0.7425,0.606
cp,0.7755,0.6665,1,1,0.4775,0.505,0.424
cp,0.528,0.7145,1,1,0.3635,0.8455,0.697
cp,0.528,0.905,1,1,0.3525,0.7525,0.6265
cp,0.719,0.619,1,1,0.5,0.8555,0.707
cp,0.562,0.8095,1,1,0.4775,0.7835,0.6465
cp,0.427,0.595,1,1,0.4775,0.701,0.6465
cp,0.753,0.6785,1,1,0.4545,0.866,0.717
cp,0.719,0.7145,1,1,0.4775,0.5775,0.4745
cp,0.618,0.655,1,1,0.568,0.7835,0.6465
cp,0.5055,0.869,1,1,0.375,0.495,0.414
cp,0.7415,0.7145,1,1,0.557,0.7425,0.616
cp,0.5395,0.512,1,1,0.557,0.8145,0.677
cp,0.5505,0.655,1,1,0.568,0.804,1
cp,0.6515,0.9165,1,1,0.1705,0.9795,0.8585
cp,0.427,0.5475,1,1,0.534,0.6805,0.5655
cp,0.663,1,1,1,0.3635,0.9175,0.7675
cp,0.5955,0.726,1,1,0.4545,0.804,0.7675
cp,0.674,0.75,1,1,0.4545,0.5775,0.4745
cp,0.719,0.7145,1,1,0.466,0.6905,0.576
cp,0.764,0.5835,1,1,0.432,0.701,0.586
cp,0.517,0.75,1,1,0.3975,0.67,0.5555
cp,0.517,0.726,1,1,0.466,0.7115,0.586
cp,0.4045,0.738,1,1,0.5,0.763,0.6365
cp,0.618,0.7975,1,1,0.568,0.67,0.5555
cp,0.371,0.5835,1,1,0.6135,0.6495,0.5355
