class,Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280/OD315_of_diluted_wines,Proline
1,0.684,-0.616,0.144,-0.484,0.240,0.256,0.148,-0.434,0.186,-0.256,-0.090,0.942,0.122
1,0.142,-0.588,-0.166,-0.938,-0.348,0.152,0.022,-0.510,-0.452,-0.470,-0.074,0.560,0.102
1,0.122,-0.360,0.402,-0.176,-0.326,0.256,0.224,-0.358,0.514,-0.250,-0.106,0.392,0.294
1,0.758,-0.522,0.220,-0.360,-0.066,0.980,0.330,-0.584,0.116,0.112,-0.382,0.598,0.714
1,0.164,-0.268,0.614,0.072,0.044,0.256,-0.008,-0.018,-0.110,-0.482,-0.090,0.216,-0.348
1,0.668,-0.596,0.166,-0.526,-0.086,0.580,0.286,-0.208,-0.016,-0.066,-0.074,0.158,0.672
1,0.768,-0.554,0.166,-0.588,-0.434,0.048,-0.080,-0.358,-0.010,-0.322,-0.122,0.692,0.444
1,0.594,-0.442,0.336,-0.278,0.108,0.118,-0.084,-0.320,-0.470,-0.356,-0.056,0.692,0.450
1,1.000,-0.644,-0.134,-0.650,-0.414,0.256,0.114,-0.396,-0.010,-0.332,-0.024,0.158,0.094
1,0.490,-0.758,-0.026,-0.444,-0.392,0.380,0.186,-0.660,-0.092,0.014,-0.138,0.670,0.094
1,0.616,-0.438,0.006,-0.238,-0.240,0.358,0.258,-0.660,0.242,-0.238,0.252,0.392,0.758
1,0.626,-0.708,0.026,-0.360,-0.456,-0.158,-0.118,-0.510,-0.268,-0.366,0.122,0.136,0.430
1,0.432,-0.608,0.122,-0.444,-0.586,0.118,0.022,-0.396,-0.116,-0.262,0.090,0.194,0.486
1,0.958,-0.608,0.102,-0.918,-0.544,0.462,0.414,0.132,0.514,-0.296,0.252,0.070,0.244
1,0.764,-0.554,0.090,-0.856,-0.304,0.600,0.392,-0.396,0.608,0.062,0.170,0.268,0.810
1,0.368,-0.578,0.434,-0.320,-0.086,0.290,0.084,-0.358,-0.338,0.028,0.300,0.180,0.472
1,0.722,-0.534,0.454,-0.030,0.086,0.256,0.182,-0.246,-0.016,-0.160,-0.040,0.010,0.430
1,0.474,-0.672,0.348,-0.030,-0.022,0.358,0.292,0.018,-0.174,-0.092,0.056,-0.048,0.216
1,0.664,-0.664,0.198,-0.392,-0.174,0.600,0.514,-0.284,-0.086,0.266,0.220,0.136,1.000
1,0.374,-0.068,0.284,-0.526,0.000,0.186,0.136,-0.850,-0.212,-0.348,-0.220,0.532,-0.192
1,0.594,-0.648,-0.016,-0.444,0.218,0.394,0.194,-0.584,0.066,-0.254,-0.008,0.788,-0.284
1,0.000,0.210,0.380,-0.176,-0.304,-0.014,-0.126,-0.548,-0.010,-0.450,-0.106,0.648,-0.298
1,0.410,-0.558,0.070,-0.382,-0.326,0.124,0.072,-0.472,-0.192,-0.570,0.024,1.000,0.080
1,-0.042,-0.660,0.240,-0.258,-0.456,0.034,-0.144,-0.510,-0.338,-0.548,-0.008,0.728,0.052
1,0.300,-0.578,0.336,-0.030,-0.434,0.068,-0.042,-0.434,-0.212,-0.618,0.040,0.868,-0.192
1,0.064,-0.482,0.990,0.484,0.174,0.138,-0.012,0.284,-0.048,-0.608,0.056,0.414,-0.212
1,0.242,-0.592,0.348,-0.432,-0.500,0.290,0.098,-0.208,-0.344,-0.400,-0.284,0.428,0.308
1,0.194,-0.612,-0.166,-0.340,-0.478,-0.020,-0.220,-0.472,-0.406,-0.544,-0.122,0.098,0.436
1,0.494,-0.542,0.540,-0.092,-0.196,0.358,0.110,-0.094,-0.148,-0.450,0.252,0.560,-0.092
1,0.574,-0.628,-0.090,-0.444,-0.434,0.152,-0.160,-0.510,-0.010,-0.416,-0.090,0.700,0.080
1,0.422,-0.700,0.434,0.226,-0.326,0.394,0.228,-0.396,0.242,-0.246,0.154,0.054,0.436
