Class,F1,F2,F3,F4,F5,F6,F7,F8
1,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33
1,0.78,0.74,0.42,0.26,0.5,0,0.43,0.22
1,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22
1,0.73,0.83,0.43,0.3,0.5,0,0.55,0.22
1,0.78,0.7,0.32,0.23,0.5,0,0.53,0.22
1,0.74,0.72,0.47,0.25,0.5,0,0.57,0.22
1,0.91,0.77,0.34,0.47,0.5,0,0.52,0.31
1,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5
1,0.7,0.69,0.43,0.33,0.5,0,0.58,0.22
1,0.85,0.85,0.3,0.31,0.5,0,0.55,0.42
1,0.89,0.81,0.36,0.71,0.5,0,0.55,0.63
1,0.7,0.73,0.37,0.37,0.5,0,0.48,0.31
1,0.67,0.63,0.34,0.41,0.5,0,0.6,0.33
1,0.7,0.73,0.38,0.36,0.5,0,0.54,0.22
1,0.84,0.87,0.45,0.54,0.5,0,0.28,0.22
1,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22
1,0.81,0.79,0.32,0.37,0.5,0,0.41,0.22
1,0.74,0.89,0.32,0.24,0.5,0,0.54,0.32
1,0.78,0.69,0.44,0.26,0.5,0,0.54,0.22
1,0.77,0.86,0.44,0.27,0.5,0,0.48,0.22
1,0.85,0.66,0.49,0.18,0.5,0,0.51,0.22
1,0.77,0.82,0.4,0.36,0.5,0,0.38,0.22
1,0.85,0.69,0.34,0.31,0.5,0,0.57,0.3
1,0.88,0.72,0.32,0.3,0.5,0,0.52,0.33
1,0.78,0.73,0.27,0.28,0.5,0,0.56,0.22
1,0.77,0.7,0.44,0.29,0.5,0,0.56,0.22
1,0.79,0.79,0.42,0.26,0.5,0,0.6,0.22
1,0.8,0.83,0.43,0.24,0.5,0,0.54,0.22
1,0.78,0.71,0.35,0.25,0.5,0,0.49,0.22
1,1,0.8,0.29,0.36,0.5,0,0.52,0.22
1,0.69,0.66,0.36,0.09,0.5,0,0.56,0.22
1,0.77,0.78,0.27,0.37,0.5,0,0.49,0.22
1,0.71,0.79,0.41,0.38,0.5,0,0.54,0.22
1,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25
1,0.77,0.7,0.37,0.12,0.5,0,0.49,0.26
1,0.74,0.73,0.32,0.2,0.5,0,0.55,0.22
1,0.75,0.73,0.35,0.33,0.5,0,0.49,0.28
1,0.83,0.94,0.32,0.21,0.5,0,0.51,0.22
1,0.92,0.66,0.52,0.23,0.5,0,0.53,0.22
1,0.72,0.73,0.41,0.28,0.5,0,0.44,0.22
1,0.8,0.73,0.47,0.19,0.5,0,0.49,0.22
1,0.77,0.68,0.35,0.19,0.5,0,0.53,0.43
1,0.85,0.85,0.3,0.31,0.5,0,0.55,0.42
1,0.77,0.74,0.37,0.29,0.5,0,0.45,0.22
2,0.86,0.68,0.39,0.24,0.5,0,0.54,0.22
2,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22
2,0.79,0.57,0.41,0.28,0.5,0,0.59,0.22
2,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35
2,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22
2,0.54,0.42,0.41,0.16,0.5,0,0.52,0.22
2,0.83,0.58,0.33,0.04,0.5,0,0.53,0.22
2,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22
2,0.57,0.59,0.44,0.16,0.5,0,0.52,0.22
2,0.92,0.61,0.4,0.22,0.5,0,0.54,0.22
2,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22
2,0.73,0.55,0.41,0.16,0.5,0,0.46,0.22
2,0.81,0.9,0.39,0.41,0.5,0,0.53,0.22
2,0.91,0.69,0.57,0.45,0.5,0,0.56,0.22
2,0.69,0.48,0.38,0.15,0.5,0,0.55,0.22
2,0.68,0.5,0.43,0.27,0.5,0,0.61,0.22
2,0.81,0.76,0.32,0.37,0.5,0,0.51,0.22
2,0.89,0.82,0.6,0.49,0.5,0,0.55,0.22
2,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22
2,0.76,0.74,0.56,0.34,0.5,0,0.51,0.3
2,0.58,0.76,0.4,0.37,0.5,0,0.54,0.3
2,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22
2,0.83,0.53,0.52,0.2,0.5,0,0.48,0.25
2,0.36,0.34,0.46,0.19,0.5,0,0.52,0.22
2,0.78,0.48,0.47,0.3,0.5,0,0.53,0.47
2,0.72,0.56,0.4,0.26,0.5,0,0.51,0.26
2,0.66,0.66,0.32,0.54,0.5,0,0.51,0.22
2,0.74,0.56,0.35,0.36,0.5,0,0.51,0.25
2,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31
2,0.78,0.63,0.53,0.13,0.5,0,0.54,0.22
2,0.83,0.57,0.42,0.57,0.5,0,0.5,0.32
2,0.43,0.38,0.38,0.12,0.5,0,0.5,0.22
2,0.76,0.67,0.37,0.22,0.5,0,0.54,0.22
2,0.95,0.71,0.27,0.39,0.5,0,0.31,0.22
2,0.97,0.71,0.29,0.42,0.5,0,0.35,0.22
2,0.81,0.55,0.35,0.34,0.5,0,0.51,0.22
2,0.55,0.52,0.44,0.2,0.5,0,0.56,0.22
2,0.46,0.47,0.44,0.18,1,0,0.46,0.22
2,0.56,0.49,0.32,0.22,0.5,0,0.5,0.22
2,0.39,0.71,0.38,0.14,0.5,0,0.5,0.22
2,0.37,0.42,0.46,0.15,0.5,0,0.51,0.31
2,0.7,0.57,0.34,0.19,0.5,0,0.53,0.27
2,0.8,0.69,0.53,0.33,0.5,0,0.51,0.22
2,0.79,0.62,0.35,0.35,0.5,0,0.6,0.28
2,0.88,0.75,0.41,0.36,0.5,0,0.43,0.22
2,0.71,0.51,0.49,0.23,0.5,0,0.3,0.32
2,0.69,0.57,0.39,0.19,0.5,0,0.48,0.39
2,0.86,0.78,0.34,0.15,0.5,0,0.53,0.22
2,0.63,0.71,0.44,0.53,0.5,0,0.52,0.22
2,0.81,0.62,0.43,0.17,0.5,0,0.53,0.22
2,0.67,0.57,0.36,0.19,0.5,0,0.56,0.22
3,0.41,0.54,0.39,0.2,0.5,0,0.51,0.22
3,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22
3,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66
3,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22
3,0.39,0.44,0.35,0.16,0.5,0,0.55,0.22
3,0.38,0.5,0.37,0.26,0.5,0,0.43,0.22
3,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22
3,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22
3,0.44,0.59,0.36,0.16,0.5,0,0.52,0.22
3,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22
3,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59
3,0.35,0.45,0.43,0.11,0.5,0,0.56,0.22
3,0.42,0.42,0.42,0.2,0.5,0,0.49,0.22
3,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22
3,0.39,0.42,0.38,0.4,0.5,0,0.49,0.47
3,0.26,0.44,0.3,0.11,0.5,0,0.51,0.47
3,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22
3,0.36,0.37,0.33,0.14,0.5,0,0.57,0.31
3,0.55,0.42,0.34,0.3,0.5,0,0.52,0.22
3,0.34,0.42,0.3,0.23,0.5,0,0.53,0.22
3,0.51,0.55,0.35,0.16,0.5,0,0.51,0.47
3,0.36,0.49,0.3,0.22,0.5,0,0.52,0.31
3,0.29,0.43,0.4,0.15,0.5,0,0.53,0.22
3,0.52,0.75,0.37,0.14,0.5,0,0.46,0.22
3,0.58,0.6,0.43,0.12,0.5,0,0.55,0.22
3,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22
3,0.58,0.53,0.38,0.18,0.5,0,0.52,0.22
3,0.36,0.46,0.43,0.19,0.5,0,0.48,0.22
3,0.53,0.68,0.42,0.19,0.5,0,0.53,0.22
3,0.46,0.35,0.33,0.17,0.5,0,0.55,0.22
3,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22
3,0.39,0.44,0.28,0.12,0.5,0,0.46,0.27
3,0.42,0.52,0.4,0.17,0.5,0,0.5,0.26
3,0.37,0.34,0.32,0.22,0.5,0,0.56,0.22
3,0.35,0.56,0.36,0.3,0.5,0,0.53,0.25
3,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22
3,0.49,0.46,0.34,0.21,0.5,0,0.55,0.22
3,0.49,0.31,0.34,0.13,0.5,0,0.52,0.22
3,0.2,0.34,0.33,0.1,0.5,0,0.48,0.31
3,0.48,0.46,0.38,0.29,0.5,0,0.53,0.22
3,0.51,0.63,0.3,0.35,0.5,0,0.53,0.27
3,0.53,0.68,0.34,0.42,0.5,0,0.54,0.27
3,0.33,0.28,0.31,0.24,0.5,0,0.53,0.22
3,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22
3,0.3,0.5,0.34,0.26,0.5,0,0.51,0.22
3,0.49,0.4,0.34,0.26,0.5,0,0.5,0.22
3,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22
3,0.43,0.44,0.3,0.18,0.5,0,0.51,0.22
3,0.43,0.45,0.37,0.12,0.5,0,0.48,0.22
3,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22
3,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22
3,0.42,0.44,0.33,0.17,0.5,0,0.54,0.27
3,0.47,0.59,0.43,0.13,0.5,0,0.56,0.3
3,0.4,0.45,0.42,0.17,0.5,0,0.54,0.26
3,0.49,0.41,0.32,0.21,0.5,0,0.5,0.32
3,0.35,0.53,0.35,0.33,0.5,0,0.5,0.32
3,0.5,0.46,0.42,0.32,0.5,0,0.56,0.55
3,0.32,0.36,0.34,0.19,0.5,0,0.55,0.26
3,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25
3,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28
3,0.47,0.43,0.35,0.32,0.5,0,0.54,0.22
3,0.48,0.43,0.45,0.17,0.5,0,0.48,0.37
3,0.36,0.35,0.47,0.22,0.5,0,0.44,0.31
3,0.37,0.55,0.29,0.32,0.5,0,0.51,0.22
3,0.42,0.51,0.39,0.22,0.5,0,0.49,0.26
3,0.46,0.4,0.38,0.18,0.5,0,0.49,0.22
3,0.46,0.14,0.36,0.21,0.5,0,0.5,0.25
3,0.39,0.37,0.33,0.23,0.5,0,0.53,0.26
3,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26
3,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22
3,0.47,0.6,0.35,0.21,0.5,0,0.52,0.22
3,0.44,0.41,0.29,0.21,0.5,0,0.49,0.22
3,0.48,0.49,0.45,0.23,0.5,0,0.51,0.22
3,0.53,0.51,0.36,0.13,0.5,0,0.52,0.22
3,0.41,0.48,0.38,0.13,0.5,0,0.51,0.35
3,0.39,0.81,0.35,0.28,0.5,0,0.51,0.45
3,0.38,0.45,0.37,0.19,0.5,0,0.52,0.3
3,0.31,0.3,0.34,0.19,0.5,0,0.55,0.3
3,0.47,0.61,0.5,0.23,0.5,0,0.49,0.22
3,0.49,0.6,0.3,0.34,0.5,0,0.5,0.43
3,0.27,0.56,0.3,0.14,0.5,0,0.52,0.39
3,0.44,0.43,0.34,0.21,0.5,0,0.55,0.4
3,0.39,0.49,0.3,0.19,0.5,0,0.52,0.31
3,0.37,0.51,0.39,0.18,0.5,0,0.51,0.27
3,0.27,0.49,0.36,0.26,0.5,0,0.49,0.26
3,0.66,0.55,0.34,0.2,0.5,0,0.62,0.22
3,0.36,0.33,0.38,0.15,0.5,0,0.55,0.36
3,0.58,0.53,0.33,0.26,0.5,0,0.51,0.22
3,0.45,0.66,0.39,0.11,0.5,0,0.54,0.22
3,0.57,0.5,0.4,0.08,0.5,0,0.47,0.22
3,0.39,0.46,0.33,0.18,0.5,0,0.53,0.22
3,0.51,0.51,0.32,0.27,0.5,0,0.54,0.22
3,0.55,0.72,0.35,0.26,0.5,0,0.49,0.22
3,0.54,0.44,0.35,0.19,0.5,0,0.51,0.27
3,0.65,0.66,0.37,0.12,0.5,0,0.52,0.27
3,0.52,0.55,0.39,0.09,1,0,0.55,0.25
3,0.42,0.28,0.33,0.23,0.5,0,0.39,0.26
3,0.38,0.42,0.31,0.35,0.5,0,0.52,0.22
3,0.46,0.48,0.38,0.22,0.5,0,0.39,0.45
3,0.52,0.65,0.36,0.37,0.5,0,0.52,0.34
3,0.4,0.43,0.36,0.33,0.5,0,0.51,0.22
3,0.27,0.41,0.24,0.2,0.5,0,0.49,0.22
3,0.25,0.35,0.22,0.18,0.5,0,0.46,0.22
3,0.37,0.4,0.38,0.18,0.5,0,0.51,0.22
3,0.45,0.57,0.38,0.28,0.5,0,0.53,0.31
3,0.55,0.46,0.47,0.15,0.5,0,0.47,0.22
3,0.41,0.42,0.23,0.16,0.5,0,0.4,0.22
3,0.25,0.42,0.21,0.14,0.5,0,0.41,0.22
3,0.49,0.31,0.43,0.24,0.5,0,0.54,0.22
3,0.46,0.41,0.43,0.18,0.5,0,0.54,0.22
3,0.32,0.36,0.28,0.38,0.5,0,0.5,0.4
3,0.4,0.65,0.38,0.17,0.5,0,0.57,0.22
3,0.49,0.55,0.41,0.19,0.5,0,0.48,0.31
3,0.46,0.61,0.38,0.35,0.5,0,0.49,0.22
3,0.36,0.5,0.39,0.23,0.5,0,0.5,0.22
3,0.43,0.28,0.41,0.32,0.5,0,0.52,0.22
3,0.31,0.51,0.38,0.18,0.5,0,0.46,0.31
3,0.31,0.4,0.31,0.17,0.5,0,0.52,0.22
3,0.55,0.39,0.39,0.47,0.5,0,0.5,0.83
3,0.59,0.48,0.41,0.53,0.5,0,0.48,0.56
3,0.43,0.48,0.36,0.26,0.5,0,0.52,0.22
3,0.42,0.51,0.33,0.16,0.5,0,0.54,0.22
3,0.5,0.47,0.45,0.14,0.5,0,0.53,0.32
3,0.49,0.53,0.36,0.15,0.5,0,0.52,0.27
3,0.39,0.63,0.41,0.27,0.5,0,0.49,0.22
3,0.49,0.49,0.4,0.2,0.5,0,0.48,0.26
3,0.33,0.49,0.46,0.22,0.5,0,0.53,0.33
3,0.47,0.41,0.46,0.18,0.5,0,0.53,0.22
3,0.26,0.3,0.37,0.15,0.5,0,0.53,0.25
3,0.45,0.5,0.43,0.16,0.5,0,0.52,0.28
3,0.54,0.44,0.38,0.22,0.5,0,0.54,0.3
3,0.22,0.53,0.36,0.22,0.5,0,0.54,0.31
3,0.43,0.41,0.37,0.18,0.5,0,0.54,0.31
3,0.46,0.59,0.38,0.12,0.5,0,0.5,0.22
3,0.43,0.6,0.4,0.12,0.5,0,0.49,0.29
3,0.65,0.62,0.26,0.33,0.5,0,0.55,0.22
3,0.47,0.61,0.32,0.27,0.5,0,0.5,0.3
3,0.3,0.68,0.41,0.17,0.5,0,0.51,0.22
3,0.55,0.35,0.36,0.29,0.5,0,0.51,0.22
3,0.35,0.32,0.31,0.16,0.5,0,0.56,0.22
3,0.67,0.61,0.39,0.24,0.5,0,0.51,0.22
3,0.39,0.56,0.34,0.18,0.5,0,0.49,0.22
3,0.51,0.38,0.42,0.21,0.5,0,0.46,0.34
3,0.32,0.45,0.39,0.14,0.5,0,0.45,0.22
3,0.28,0.48,0.36,0.16,0.5,0,0.53,0.22
3,0.52,0.65,0.36,0.26,0.5,0,0.44,0.22
3,0.42,0.71,0.45,0.15,0.5,0,0.48,0.22
3,0.38,0.37,0.36,0.14,0.5,0,0.54,0.22
3,0.38,0.56,0.38,0.16,0.5,0,0.53,0.22
3,0.63,0.65,0.42,0.18,0.5,0,0.54,0.27
3,0.61,0.76,0.3,0.16,0.5,0,0.45,0.41
3,0.38,0.67,0.33,0.17,0.5,0,0.51,0.22
3,0.39,0.33,0.33,0.23,0.5,0,0.47,0.22
3,0.5,0.63,0.45,0.13,0.5,0,0.45,0.32
3,0.2,0.6,0.5,0.29,0.5,0,0.51,0.22
3,0.29,0.26,0.43,0.17,0.5,0,0.55,0.3
3,0.51,0.46,0.41,0.36,0.5,0,0.49,0.22
3,0.49,0.56,0.37,0.2,0.5,0,0.53,0.22
3,0.49,0.55,0.35,0.23,0.5,0,0.57,0.22
3,0.6,0.68,0.3,0.27,0.5,0,0.55,0.22
3,0.52,0.46,0.34,0.2,0.5,0,0.51,0.25
3,0.3,0.37,0.4,0.45,0.5,0,0.48,0.41
3,0.32,0.29,0.29,0.08,0.5,0,0.52,0.22
